Rank,Album,Artist,Link,No_1_hits,Top_10_hits,Songs
120,Band On The Run,Paul McCartney And Wings,https://www.billboard.com/music/paul-mccartney-and-wings,1.0,1.0,1.0
121,Are You Experienced?,Jimi Hendrix,https://www.billboard.com/music/jimi-hendrix,7.0,NA,NA
122,Sports,Huey Lewis & The News,https://www.billboard.com/music/huey-lewis-the-news,3.0,12.0,21.0
123,Hair,Original Cast Recording,https://www.billboard.com/music/original-cast-recording,NA,NA,NA
124,Synchronicity,The Police,https://www.billboard.com/music/the-police,1.0,6.0,13.0
125,Pieces Of You,Jewel,https://www.billboard.com/music/jewel,2.0,8.0,NA
126,Crazysexycool,TLC,https://www.billboard.com/music/tlc,4.0,9.0,16.0
127,The Joshua Tree,U2,https://www.billboard.com/music/u2,2.0,6.0,34.0
128,As I Am,Alicia Keys,https://www.billboard.com/music/alicia-keys,4.0,9.0,24.0
129,Cooleyhighharmony,Boyz II Men,https://www.billboard.com/music/boyz-ii-men,5.0,10.0,18.0
130,No Jacket Required,Phil Collins,https://www.billboard.com/music/phil-collins,7.0,14.0,27.0
131,1,The Beatles,https://www.billboard.com/music/the-beatles,20.0,34.0,71.0
132,The Monkees,The Monkees,https://www.billboard.com/music/the-monkees,3.0,6.0,20.0
133,Whitesnake,Whitesnake,https://www.billboard.com/music/whitesnake,1.0,2.0,7.0
134,Monkey Business,The Black Eyed Peas,https://www.billboard.com/music/the-black-eyed-peas,3.0,10.0,16.0
135,Abbey Road,The Beatles,https://www.billboard.com/music/the-beatles,20.0,34.0,71.0
136,My Kinda Party,Jason Aldean,https://www.billboard.com/music/jason-aldean,1.0,29.0,NA
137,N Sync,,https://www.billboard.com/music/,NA,NA,NA
138,Bad,Michael Jackson,https://www.billboard.com/music/michael-jackson,13.0,29.0,50.0
139,Get Rich Or Die Tryin',50 Cent,https://www.billboard.com/music/50-cent,4.0,13.0,39.0
140,Red,Taylor Swift,https://www.billboard.com/music/taylor-swift,5.0,22.0,75.0
141,Home,Dixie Chicks,https://www.billboard.com/music/dixie-chicks,3.0,17.0,NA
142,Grease,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
143,Red Octopus,Jefferson Starship,https://www.billboard.com/music/jefferson-starship,2.0,17.0,NA
144,American Pie,Don McLean,https://www.billboard.com/music/don-mclean,1.0,2.0,9.0
145,Honky Chateau,Elton John,https://www.billboard.com/music/elton-john,9.0,27.0,67.0
146,Led Zeppelin II,Led Zeppelin,https://www.billboard.com/music/led-zeppelin,1.0,10.0,NA
147,Konvicted,Akon,https://www.billboard.com/music/akon,2.0,13.0,37.0
148,The Long Run,Eagles,https://www.billboard.com/music/eagles,5.0,10.0,21.0
149,Off The Wall,Michael Jackson,https://www.billboard.com/music/michael-jackson,13.0,29.0,50.0
150,Back To Black,Amy Winehouse,https://www.billboard.com/music/amy-winehouse,1.0,3.0,NA
151,American Fool,John Cougar,https://www.billboard.com/music/john-cougar,1.0,3.0,9.0
152,Tha Carter III,Lil Wayne,https://www.billboard.com/music/lil-wayne,3.0,20.0,136.0
153,A Day Without Rain,Enya,https://www.billboard.com/music/enya,2.0,5.0,NA
154,Unforgettable,Nat King Cole,https://www.billboard.com/music/nat-king-cole,2.0,30.0,NA
155,One Of These Nights,Eagles,https://www.billboard.com/music/eagles,5.0,10.0,21.0
156,More Of The Monkees,The Monkees,https://www.billboard.com/music/the-monkees,3.0,6.0,20.0
157,M!Ssundaztood,P!nk,https://www.billboard.com/music/pnk,4.0,15.0,29.0
158,Totally Krossed Out,Kris Kross,https://www.billboard.com/music/kris-kross,1.0,1.0,7.0
159,Whitney,Whitney Houston,https://www.billboard.com/music/whitney-houston,11.0,23.0,39.0
160,Woodstock,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
161,That's The Way Of The World,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
162,Silver Side Up,Nickelback,https://www.billboard.com/music/nickelback,1.0,6.0,19.0
163,Titanic,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
164,Let's Talk About Love,Celine Dion,https://www.billboard.com/music/celine-dion,4.0,10.0,21.0
165,Chicago V,Chicago,https://www.billboard.com/music/chicago,3.0,20.0,46.0
166,Funny Girl,Barbra Streisand,https://www.billboard.com/music/barbra-streisand,5.0,12.0,41.0
167,August & Everything After,Counting Crows,https://www.billboard.com/music/counting-crows,3.0,NA,NA
168,Glass Houses,Billy Joel,https://www.billboard.com/music/billy-joel,3.0,13.0,42.0
169,Reckless,Bryan Adams,https://www.billboard.com/music/bryan-adams,4.0,11.0,25.0
170,What Now My Love,Herb Alpert & The Tijuana Brass,https://www.billboard.com/music/herb-alpert-the-tijuana-brass,NA,NA,NA
171,Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,https://www.billboard.com/music/diana-ross-the-supremes,NA,NA,NA
172,Dookie,Green Day,https://www.billboard.com/music/green-day,2.0,9.0,NA
173,Disraeli Gears,Cream,https://www.billboard.com/music/cream,2.0,5.0,NA
174,Nellyville,Nelly,https://www.billboard.com/music/nelly,4.0,14.0,36.0
175,Captain Fantastic And The Brown Dirt Cowboy,Elton John,https://www.billboard.com/music/elton-john,9.0,27.0,67.0
176,You Don't Mess Around With Jim,Jim Croce,https://www.billboard.com/music/jim-croce,2.0,5.0,10.0
177,Harvest,Neil Young,https://www.billboard.com/music/neil-young,1.0,1.0,11.0
178,In The Wind,"Peter, Paul & Mary",https://www.billboard.com/music/peter-paul-mary,1.0,6.0,19.0
179,True Blue,Madonna,https://www.billboard.com/music/madonna,12.0,38.0,57.0
180,Songs From The Big Chair,Tears For Fears,https://www.billboard.com/music/tears-for-fears,2.0,4.0,9.0
181,Weathered,Creed,https://www.billboard.com/music/creed,1.0,4.0,7.0
182,Dark Horse,Nickelback,https://www.billboard.com/music/nickelback,1.0,6.0,19.0
183,Private Dancer,Tina Turner,https://www.billboard.com/music/tina-turner,1.0,6.0,17.0
184,Bella Donna,Stevie Nicks,https://www.billboard.com/music/stevie-nicks,4.0,14.0,NA
185,Houses Of The Holy,Led Zeppelin,https://www.billboard.com/music/led-zeppelin,1.0,10.0,NA
186,Up All Night,One Direction,https://www.billboard.com/music/one-direction,6.0,29.0,NA
187,Meet The Beatles!,The Beatles,https://www.billboard.com/music/the-beatles,20.0,34.0,71.0
188,Bridge Over Troubled Water,Simon & Garfunkel,https://www.billboard.com/music/simon-garfunkel,3.0,8.0,17.0
189,Pure Heroine,Lorde,https://www.billboard.com/music/lorde,1.0,2.0,8.0
190,First Take,Roberta Flack,https://www.billboard.com/music/roberta-flack,3.0,6.0,18.0
191,52nd Street,Billy Joel,https://www.billboard.com/music/billy-joel,3.0,13.0,42.0
192,Scarecrow,John Mellencamp,https://www.billboard.com/music/john-mellencamp,1.0,10.0,29.0
193,Back Home Again,John Denver,https://www.billboard.com/music/john-denver,4.0,7.0,32.0
194,Led Zeppelin Iv,Led Zeppelin,https://www.billboard.com/music/led-zeppelin,1.0,10.0,NA
195,Cosmo's Factory,Creedence Clearwater Revival,https://www.billboard.com/music/creedence-clearwater-revival,9.0,16.0,NA
196,Romeo + Juliet,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
197,Yourself Or Someone Like You,matchbox 20,https://www.billboard.com/music/matchbox-20,NA,NA,NA
198,In Through The Out Door,Led Zeppelin,https://www.billboard.com/music/led-zeppelin,1.0,10.0,NA
199,Christina Aguilera,Christina Aguilera,https://www.billboard.com/music/christina-aguilera,5.0,11.0,30.0
200,The 20/20 Experience,Justin Timberlake,https://www.billboard.com/music/justin-timberlake,5.0,17.0,29.0
